 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 3.220  0.89982  1.94751
 3.225  0.90950  1.92736
 3.230  0.91909  1.90697
 3.235  0.92857  1.88633
 3.240  0.93795  1.86545
 3.245  0.94723  1.84434
 3.250  0.95640  1.82299
 3.255  0.96546  1.80140
 3.260  0.97441  1.77959
 3.265  0.98325  1.75754
 3.270  0.99198  1.73527
 3.275  1.00061  1.71278
 3.280  1.00911  1.69006
 3.285  1.01751  1.66713
 3.290  1.02578  1.64398
 3.295  1.03395  1.62062
 3.300  1.04199  1.59705
 3.305  1.04992  1.57328
 3.310  1.05772  1.54929
 3.315  1.06541  1.52511
 3.320  1.07297  1.50072
 3.325  1.08042  1.47614
 3.330  1.08774  1.45137
 3.335  1.09493  1.42641
 3.340  1.10200  1.40125
 3.345  1.10894  1.37592
 3.350  1.11576  1.35040
 3.355  1.12245  1.32470
 3.360  1.12901  1.29883
 3.365  1.13543  1.27278
 3.370  1.14173  1.24657
 3.375  1.14790  1.22018
 3.380  1.15394  1.19364
 3.385  1.15984  1.16693
 3.390  1.16560  1.14006
 3.395  1.17124  1.11304
 3.400  1.17673  1.08587
 3.405  1.18210  1.05855
 3.410  1.18732  1.03109
 3.415  1.19241  1.00348
 3.420  1.19736  0.97574
 3.425  1.20216  0.94786
 3.430  1.20683  0.91985
 3.435  1.21136  0.89171
 3.440  1.21575  0.86344
 3.445  1.22000  0.83506
 3.450  1.22410  0.80655
 3.455  1.22806  0.77793
 3.460  1.23188  0.74920
 3.465  1.23555  0.72036
 3.470  1.23908  0.69141
 3.475  1.24247  0.66236
 3.480  1.24571  0.63321
 3.485  1.24880  0.60397
 3.490  1.25175  0.57464
 3.495  1.25455  0.54522
 3.500  1.25720  0.51572
 3.505  1.25970  0.48613
 3.510  1.26206  0.45647
 3.515  1.26427  0.42673
 3.520  1.26633  0.39692
 3.525  1.26824  0.36705
 3.530  1.27000  0.33711
 3.535  1.27161  0.30711
 3.540  1.27307  0.27706
 3.545  1.27438  0.24695
 3.550  1.27554  0.21680
 3.555  1.27655  0.18660
 3.560  1.27741  0.15636
 3.565  1.27811  0.12608
 3.570  1.27867  0.09576
 3.575  1.27907  0.06542
 3.580  1.27932  0.03505
